donnemartin,389.8858688999997,4
kennethreitz,1251.645146999998,1
mitsuhiko,622.9118450000001,2
jakubroztocil,138.21375350000005,9
nvbn,180.05631230000026,8
rg3,312.68942200000004,5
toddmotto,89.71547470000006,12
josephmisiti,117.00906249999994,10
minimaxir,50.30660330000003,17
fchollet,7.432988999999999,20
soimort,98.35778020000005,11
floodsung,23.801728700000012,18
Valloric,69.58596169999997,14
alexjc,11.969292999999999,19
vinta,515.2679610000005,3
eriklindernoren,312.47599200000036,6
faif,89.63999599999997,13
chrissimpkins,60.787666899999984,15
wangshub,59.51977499999997,16
miguelgrinberg,289.30528789999994,7
