donnemartin,0.0005664349042642882,19
kennethreitz,0.00121837839039519,15
mitsuhiko,0.0005835851420558974,13
jakubroztocil,0.0003992890322615829,4
nvbn,0.00044581245662163294,17
rg3,0.0002997623518489512,10
toddmotto,0.0002658541781811538,16
josephmisiti,0.0002653407349693407,7
minimaxir,0.0004068081028114064,14
fchollet,0.00027062537942338077,20
soimort,0.0002991141195021295,11
floodsung,0.00033684539951175116,1
Valloric,0.00028847575380257137,3
alexjc,0.0003363344784612346,18
vinta,0.00031234740445933347,2
eriklindernoren,0.00042397283999620465,12
faif,0.0002625891631804007,5
chrissimpkins,0.0003700446635047889,6
wangshub,0.0003020956329664188,8
miguelgrinberg,0.0008016155711102229,9
