user	probability	predict_rank
donnemartin	0.0014	19
kennethreitz	0.0034	8
mitsuhiko	0.0013	24
jakubroztocil	0.0006	15
nvbn	0.0008	16
rg3	0.0003	20
toddmotto	0.0003	22
josephmisiti	0.0003	10
minimaxir	0.0006	12
fchollet	0.0002	9
soimort	0.0004	21
floodsung	0.0004	7
Valloric	0.0003	29
alexjc	0.0005	3
vinta	0.0004	18
eriklindernoren	0.0007	30
faif	0.0002	25
chrissimpkins	0.0005	2
wangshub	0.0004	17
miguelgrinberg	0.0016	4
fxsjy	0.0003	5
ageitgey	0.0002	6
keon	0.0007	1
tomchristie	0.0006	11
s0md3v	0.0010	13
littlecodersh	0.0003	28
apenwarr	0.0005	27
binux	0.0003	26
rushter	0.0005	23
astorfi	0.0007	14
