user	probability	predict_rank
donnemartin	0.0013	15
kennethreitz	0.0031	18
mitsuhiko	0.0012	8
jakubroztocil	0.0006	19
nvbn	0.0008	7
rg3	0.0003	28
toddmotto	0.0003	9
josephmisiti	0.0003	12
minimaxir	0.0006	21
fchollet	0.0002	17
soimort	0.0004	6
floodsung	0.0004	5
Valloric	0.0003	30
alexjc	0.0004	14
vinta	0.0004	2
eriklindernoren	0.0007	16
faif	0.0003	3
chrissimpkins	0.0005	24
wangshub	0.0004	10
miguelgrinberg	0.0016	11
fxsjy	0.0003	4
ageitgey	0.0002	29
keon	0.0007	1
tomchristie	0.0006	13
s0md3v	0.0009	20
littlecodersh	0.0003	22
apenwarr	0.0005	23
binux	0.0003	26
rushter	0.0005	27
astorfi	0.0007	25
