user	probability	predict_rank
donnemartin	0.0016	15
kennethreitz	0.0030	10
mitsuhiko	0.0011	12
jakubroztocil	0.0004	30
nvbn	0.0007	7
rg3	0.0004	17
toddmotto	0.0003	11
josephmisiti	0.0003	16
minimaxir	0.0005	1
fchollet	0.0001	24
soimort	0.0004	19
floodsung	0.0004	25
Valloric	0.0003	29
alexjc	0.0004	27
vinta	0.0004	13
eriklindernoren	0.0006	5
faif	0.0002	4
chrissimpkins	0.0004	28
wangshub	0.0003	20
miguelgrinberg	0.0011	3
fxsjy	0.0002	18
ageitgey	0.0001	8
keon	0.0008	14
tomchristie	0.0006	2
s0md3v	0.0007	6
littlecodersh	0.0003	21
apenwarr	0.0004	23
binux	0.0003	9
rushter	0.0004	26
astorfi	0.0004	22
