user	probability	predict_rank
donnemartin	0.0005	19
kennethreitz	0.0010	27
mitsuhiko	0.0005	15
jakubroztocil	0.0004	13
nvbn	0.0004	4
rg3	0.0003	22
toddmotto	0.0003	11
josephmisiti	0.0003	18
minimaxir	0.0004	12
fchollet	0.0003	7
soimort	0.0003	23
floodsung	0.0003	26
Valloric	0.0003	20
alexjc	0.0003	28
vinta	0.0003	1
eriklindernoren	0.0004	30
faif	0.0003	17
chrissimpkins	0.0003	10
wangshub	0.0003	16
miguelgrinberg	0.0006	14
fxsjy	0.0003	2
ageitgey	0.0003	21
keon	0.0004	24
tomchristie	0.0003	5
s0md3v	0.0004	9
littlecodersh	0.0003	6
apenwarr	0.0003	29
binux	0.0003	25
rushter	0.0003	3
astorfi	0.0004	8
