user	probability	predict_rank
donnemartin	0.0015	19
kennethreitz	0.0035	9
mitsuhiko	0.0013	21
jakubroztocil	0.0005	15
nvbn	0.0008	16
rg3	0.0003	22
toddmotto	0.0003	18
josephmisiti	0.0003	10
minimaxir	0.0006	17
fchollet	0.0002	24
soimort	0.0004	7
floodsung	0.0004	25
Valloric	0.0003	29
alexjc	0.0005	3
vinta	0.0004	1
eriklindernoren	0.0007	14
faif	0.0002	28
chrissimpkins	0.0005	12
wangshub	0.0004	2
miguelgrinberg	0.0016	13
fxsjy	0.0003	4
ageitgey	0.0002	11
keon	0.0008	5
tomchristie	0.0007	6
s0md3v	0.0010	27
littlecodersh	0.0003	20
apenwarr	0.0005	30
binux	0.0003	23
rushter	0.0005	26
astorfi	0.0007	8
