user	probability	predict_rank
donnemartin	0.0011	27
kennethreitz	0.0027	8
mitsuhiko	0.0011	18
jakubroztocil	0.0005	4
nvbn	0.0007	10
rg3	0.0003	28
toddmotto	0.0003	7
josephmisiti	0.0003	19
minimaxir	0.0006	21
fchollet	0.0003	24
soimort	0.0003	15
floodsung	0.0004	16
Valloric	0.0003	5
alexjc	0.0004	9
vinta	0.0004	30
eriklindernoren	0.0006	14
faif	0.0003	13
chrissimpkins	0.0005	3
wangshub	0.0003	2
miguelgrinberg	0.0014	1
fxsjy	0.0003	17
ageitgey	0.0002	12
keon	0.0006	11
tomchristie	0.0005	29
s0md3v	0.0009	25
littlecodersh	0.0003	22
apenwarr	0.0005	20
binux	0.0003	26
rushter	0.0004	23
astorfi	0.0006	6
