user	probability	predict_rank
donnemartin	0.0009	15
kennethreitz	0.0022	14
mitsuhiko	0.0009	19
jakubroztocil	0.0005	8
nvbn	0.0006	13
rg3	0.0003	12
toddmotto	0.0003	10
josephmisiti	0.0003	7
minimaxir	0.0005	21
fchollet	0.0003	1
soimort	0.0003	16
floodsung	0.0004	22
Valloric	0.0003	26
alexjc	0.0004	23
vinta	0.0004	28
eriklindernoren	0.0006	11
faif	0.0003	4
chrissimpkins	0.0004	18
wangshub	0.0003	30
miguelgrinberg	0.0012	17
fxsjy	0.0003	24
ageitgey	0.0002	2
keon	0.0006	29
tomchristie	0.0005	25
s0md3v	0.0007	20
littlecodersh	0.0003	27
apenwarr	0.0004	5
binux	0.0003	9
rushter	0.0004	6
astorfi	0.0006	3
