user	probability	predict_rank
donnemartin	0.0012	21
kennethreitz	0.0011	1
mitsuhiko	0.0004	11
jakubroztocil	0.0001	27
nvbn	0.0002	30
rg3	0.0005	20
toddmotto	0.0006	19
josephmisiti	0.0005	8
minimaxir	0.0001	23
fchollet	0.0000	26
soimort	0.0004	4
floodsung	0.0000	6
Valloric	0.0002	10
alexjc	0.0000	16
vinta	0.0004	22
eriklindernoren	0.0005	17
faif	0.0001	18
chrissimpkins	0.0000	2
wangshub	0.0001	28
miguelgrinberg	0.0002	12
fxsjy	0.0000	3
ageitgey	0.0000	5
keon	0.0005	29
tomchristie	0.0003	25
s0md3v	0.0001	14
littlecodersh	0.0000	24
apenwarr	0.0001	7
binux	0.0001	15
rushter	0.0001	9
astorfi	0.0000	13
