user	probability	predict_rank
donnemartin	0.0007	19
kennethreitz	0.0016	15
mitsuhiko	0.0007	8
jakubroztocil	0.0004	11
nvbn	0.0005	13
rg3	0.0003	20
toddmotto	0.0003	17
josephmisiti	0.0003	9
minimaxir	0.0004	22
fchollet	0.0003	23
soimort	0.0003	26
floodsung	0.0004	28
Valloric	0.0003	30
alexjc	0.0004	1
vinta	0.0003	10
eriklindernoren	0.0005	21
faif	0.0003	12
chrissimpkins	0.0004	27
wangshub	0.0003	16
miguelgrinberg	0.0010	2
fxsjy	0.0003	7
ageitgey	0.0002	4
keon	0.0005	24
tomchristie	0.0004	5
s0md3v	0.0006	6
littlecodersh	0.0003	18
apenwarr	0.0004	14
binux	0.0003	25
rushter	0.0004	29
astorfi	0.0005	3
