donnemartin,0.000584561372281534,19
kennethreitz,0.0012806262075919926,15
mitsuhiko,0.0006183552578256586,14
jakubroztocil,0.00039856960284361665,18
nvbn,0.00044418723803413973,1
rg3,0.00029965662783496526,11
toddmotto,0.00026584094963799887,13
josephmisiti,0.0002654761667382261,4
minimaxir,0.00040299127337171123,7
fchollet,0.0002693539113065328,17
soimort,0.00030631126394776553,20
floodsung,0.00033684527720393825,12
Valloric,0.0002884253261320436,10
alexjc,0.00033631268585037884,16
vinta,0.00031199033325556377,2
eriklindernoren,0.0004241138188860122,5
faif,0.000262502631586639,9
chrissimpkins,0.00036964878894852834,6
wangshub,0.0003020731134145182,3
miguelgrinberg,0.0008035319808197017,8
