user	probability	predict_rank
donnemartin	0.0015	1
kennethreitz	0.0032	30
mitsuhiko	0.0011	10
jakubroztocil	0.0005	19
nvbn	0.0008	15
rg3	0.0003	16
toddmotto	0.0003	4
josephmisiti	0.0003	21
minimaxir	0.0006	12
fchollet	0.0002	11
soimort	0.0003	29
floodsung	0.0004	25
Valloric	0.0003	13
alexjc	0.0004	27
vinta	0.0004	5
eriklindernoren	0.0007	28
faif	0.0002	2
chrissimpkins	0.0005	20
wangshub	0.0003	24
miguelgrinberg	0.0014	18
fxsjy	0.0003	8
ageitgey	0.0001	14
keon	0.0008	17
tomchristie	0.0007	6
s0md3v	0.0009	22
littlecodersh	0.0003	26
apenwarr	0.0005	9
binux	0.0003	23
rushter	0.0004	3
astorfi	0.0006	7
