user	probability	predict_rank
donnemartin	0.0015	2
kennethreitz	0.0027	22
mitsuhiko	0.0009	15
jakubroztocil	0.0004	10
nvbn	0.0007	21
rg3	0.0004	17
toddmotto	0.0003	30
josephmisiti	0.0003	19
minimaxir	0.0005	28
fchollet	0.0001	1
soimort	0.0003	16
floodsung	0.0004	4
Valloric	0.0003	25
alexjc	0.0004	29
vinta	0.0004	20
eriklindernoren	0.0006	5
faif	0.0002	27
chrissimpkins	0.0004	12
wangshub	0.0003	8
miguelgrinberg	0.0011	13
fxsjy	0.0002	14
ageitgey	0.0001	6
keon	0.0008	11
tomchristie	0.0006	24
s0md3v	0.0007	18
littlecodersh	0.0003	9
apenwarr	0.0004	23
binux	0.0003	26
rushter	0.0004	7
astorfi	0.0005	3
