user	probability	predict_rank
donnemartin	0.0013	7
kennethreitz	0.0031	8
mitsuhiko	0.0011	19
jakubroztocil	0.0006	30
nvbn	0.0008	20
rg3	0.0003	21
toddmotto	0.0003	27
josephmisiti	0.0003	17
minimaxir	0.0007	16
fchollet	0.0002	10
soimort	0.0003	12
floodsung	0.0004	15
Valloric	0.0003	11
alexjc	0.0005	25
vinta	0.0004	29
eriklindernoren	0.0007	18
faif	0.0002	22
chrissimpkins	0.0005	28
wangshub	0.0004	9
miguelgrinberg	0.0016	1
fxsjy	0.0003	2
ageitgey	0.0002	3
keon	0.0008	24
tomchristie	0.0006	4
s0md3v	0.0010	5
littlecodersh	0.0003	6
apenwarr	0.0005	13
binux	0.0003	26
rushter	0.0005	23
astorfi	0.0007	14
