user	probability	predict_rank
donnemartin	0.0012	7
kennethreitz	0.0029	8
mitsuhiko	0.0011	15
jakubroztocil	0.0006	17
nvbn	0.0008	28
rg3	0.0003	22
toddmotto	0.0003	16
josephmisiti	0.0003	18
minimaxir	0.0006	10
fchollet	0.0003	19
soimort	0.0003	12
floodsung	0.0004	30
Valloric	0.0003	14
alexjc	0.0004	24
vinta	0.0004	21
eriklindernoren	0.0007	29
faif	0.0003	25
chrissimpkins	0.0005	20
wangshub	0.0004	1
miguelgrinberg	0.0016	27
fxsjy	0.0003	2
ageitgey	0.0002	11
keon	0.0007	5
tomchristie	0.0006	6
s0md3v	0.0009	4
littlecodersh	0.0003	13
apenwarr	0.0005	9
binux	0.0003	26
rushter	0.0005	23
astorfi	0.0007	3
