user	probability	predict_rank
donnemartin	0.0005	19
kennethreitz	0.0009	30
mitsuhiko	0.0005	14
jakubroztocil	0.0004	17
nvbn	0.0004	13
rg3	0.0003	10
toddmotto	0.0003	9
josephmisiti	0.0003	11
minimaxir	0.0004	16
fchollet	0.0003	7
soimort	0.0003	4
floodsung	0.0003	15
Valloric	0.0003	23
alexjc	0.0003	26
vinta	0.0003	20
eriklindernoren	0.0004	28
faif	0.0003	21
chrissimpkins	0.0003	12
wangshub	0.0003	1
miguelgrinberg	0.0006	3
fxsjy	0.0003	18
ageitgey	0.0003	2
keon	0.0004	24
tomchristie	0.0003	5
s0md3v	0.0004	6
littlecodersh	0.0003	22
apenwarr	0.0003	25
binux	0.0003	29
rushter	0.0003	27
astorfi	0.0004	8
