user	probability	predict_rank
donnemartin	0.0003	5
kennethreitz	0.0003	9
mitsuhiko	0.0003	6
jakubroztocil	0.0003	23
nvbn	0.0003	26
rg3	0.0003	7
toddmotto	0.0003	19
josephmisiti	0.0003	15
minimaxir	0.0003	29
fchollet	0.0003	25
soimort	0.0003	18
floodsung	0.0003	1
Valloric	0.0003	20
alexjc	0.0003	30
vinta	0.0003	28
eriklindernoren	0.0003	16
faif	0.0003	13
chrissimpkins	0.0003	2
wangshub	0.0003	3
miguelgrinberg	0.0003	14
fxsjy	0.0003	22
ageitgey	0.0003	27
keon	0.0003	8
tomchristie	0.0003	21
s0md3v	0.0003	24
littlecodersh	0.0003	12
apenwarr	0.0003	17
binux	0.0003	10
rushter	0.0003	4
astorfi	0.0003	11
