user	probability	predict_rank
donnemartin	0.0007	12
kennethreitz	0.0015	7
mitsuhiko	0.0007	18
jakubroztocil	0.0004	27
nvbn	0.0005	16
rg3	0.0003	14
toddmotto	0.0003	20
josephmisiti	0.0003	10
minimaxir	0.0004	13
fchollet	0.0003	17
soimort	0.0003	11
floodsung	0.0004	26
Valloric	0.0003	9
alexjc	0.0004	19
vinta	0.0003	28
eriklindernoren	0.0005	22
faif	0.0003	4
chrissimpkins	0.0004	1
wangshub	0.0003	3
miguelgrinberg	0.0010	8
fxsjy	0.0003	2
ageitgey	0.0002	24
keon	0.0005	21
tomchristie	0.0004	25
s0md3v	0.0006	29
littlecodersh	0.0003	15
apenwarr	0.0004	30
binux	0.0003	5
rushter	0.0004	6
astorfi	0.0005	23
