user	probability	predict_rank
donnemartin	0.0008	3
kennethreitz	0.0020	15
mitsuhiko	0.0008	30
jakubroztocil	0.0005	27
nvbn	0.0006	20
rg3	0.0003	4
toddmotto	0.0003	11
josephmisiti	0.0003	24
minimaxir	0.0005	17
fchollet	0.0003	21
soimort	0.0003	13
floodsung	0.0004	7
Valloric	0.0003	16
alexjc	0.0004	6
vinta	0.0004	19
eriklindernoren	0.0006	28
faif	0.0003	12
chrissimpkins	0.0004	22
wangshub	0.0003	1
miguelgrinberg	0.0012	8
fxsjy	0.0003	2
ageitgey	0.0002	18
keon	0.0006	10
tomchristie	0.0005	25
s0md3v	0.0007	29
littlecodersh	0.0003	5
apenwarr	0.0004	9
binux	0.0003	26
rushter	0.0004	14
astorfi	0.0006	23
