user	probability	predict_rank
donnemartin	0.0010	7
kennethreitz	0.0025	30
mitsuhiko	0.0010	13
jakubroztocil	0.0005	3
nvbn	0.0007	11
rg3	0.0003	19
toddmotto	0.0003	15
josephmisiti	0.0003	10
minimaxir	0.0006	12
fchollet	0.0003	28
soimort	0.0003	27
floodsung	0.0004	16
Valloric	0.0003	21
alexjc	0.0004	4
vinta	0.0004	24
eriklindernoren	0.0006	17
faif	0.0003	5
chrissimpkins	0.0005	6
wangshub	0.0003	22
miguelgrinberg	0.0014	1
fxsjy	0.0003	8
ageitgey	0.0002	20
keon	0.0006	2
tomchristie	0.0005	18
s0md3v	0.0008	25
littlecodersh	0.0003	29
apenwarr	0.0005	9
binux	0.0003	26
rushter	0.0004	23
astorfi	0.0006	14
