user	probability	predict_rank
donnemartin	0.0011	20
kennethreitz	0.0009	16
mitsuhiko	0.0003	1
jakubroztocil	0.0001	18
nvbn	0.0002	12
rg3	0.0005	10
toddmotto	0.0006	22
josephmisiti	0.0005	5
minimaxir	0.0001	8
fchollet	0.0000	23
soimort	0.0002	6
floodsung	0.0000	3
Valloric	0.0002	27
alexjc	0.0000	26
vinta	0.0004	17
eriklindernoren	0.0005	14
faif	0.0001	30
chrissimpkins	0.0000	2
wangshub	0.0001	13
miguelgrinberg	0.0002	11
fxsjy	0.0000	24
ageitgey	0.0000	21
keon	0.0006	28
tomchristie	0.0003	25
s0md3v	0.0001	29
littlecodersh	0.0000	7
apenwarr	0.0001	15
binux	0.0001	19
rushter	0.0001	9
astorfi	0.0000	4
