donnemartin,993.4000000000889,2
kennethreitz,1375.000000000175,1
mitsuhiko,688.2000000000189,3
jakubroztocil,161.1999999999994,12
nvbn,229.79999999999558,11
rg3,316.3999999999906,10
toddmotto,147.2000000000002,13
josephmisiti,342.19999999998913,9
minimaxir,55.200000000000294,23
fchollet,8.000000000000004,30
soimort,120.80000000000118,14
floodsung,36.39999999999998,28
Valloric,94.80000000000081,16
alexjc,12.999999999999986,29
vinta,567.399999999992,5
eriklindernoren,354.9999999999884,7
faif,116.60000000000112,15
chrissimpkins,63.80000000000041,20
wangshub,64.00000000000037,19
miguelgrinberg,353.99999999998823,8
fxsjy,60.60000000000032,21
ageitgey,42.20000000000006,27
keon,629.6000000000062,4
tomchristie,521.5999999999816,6
s0md3v,79.60000000000063,17
littlecodersh,43.400000000000105,26
apenwarr,58.00000000000029,22
binux,53.200000000000216,24
rushter,75.60000000000053,18
astorfi,47.80000000000016,25
